name,enrolled,instructor,instructorImage,rating,ratingNo,reviewer,reviews,description,time,provider,catagory,subCatagory
COVID-19: What You Need to Know (CME Eligible),"102,171","Rishi Desai, MD, MPH",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f9/b548d697c5405aa3d8b5112141428d/Rishi_Photo.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,1578,"by EP,by JK","The course was informative with the resources and information that was available at the time the course was completed. Since our knowledge of the virus is very fluid, a few things are not up to date.,It was an informative course. Most information was already being practiced by myself and others but reviewing in academic and clinical form was helpful to take it as true instead of street knowledge.",Register for this free CME course here: https://www.coursera.org/learn/covid-19-what-you-need-to-know?edocomorp=public-health-free-courses,Beginner Level,Osmosis,Health,Public Health
Making Architecture,"91,021",Nenad Katic,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/33/8186703dcf11e68002cf6bb8bded71/nenad-katic.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,341,"by SK,by CS","The content is really good for beginner architects, the instructors were amazing and supportive. Examples of project and their analysis is really interesting so perhaps more examples could be added,Even though it is a very short course, the skills, ideas and knowledge learnt is very useful. I can already think of different ways and new ways to approach my work, designs and daily life.","Making architecture offers a unique insight into the mind and work of an Architect, starting with the basics of the profession and culminating with the production of a scaled site model.  The course should act as ideal preparation for those interested in undertaking an undergraduate degree in Architecture, although its flexible, intriguing and enjoyable content makes it accessible for all those looking to increase their knowledge in the field.",Beginner Level,IE Business School,Arts and Humanities,Music and Art
Getting Started With Music Theory,"90,334",Bruce Taggart,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d2/5ec930c13a11e6aec41ba8a4a22730/Taggart__Bruce_377_569_c1.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,239,"by WV,by FH","Course was quite tough , eventually I had given up on this course, but consistency made me learn and I went through rigorous learning in finding the chords and middle C notes. Yes I made it in the end,Excellent information but I think that this course needs more visual examples, when the instructor is talking, the presentation does not move and He give examples but they don´t follow graphically.","This course is a brief introduction to the elements of music theory for those with little or no music theory experience. We will explore pitch, rhythm, meter, notation, scales, keys, key signatures, meter signatures, triads, seventh chords, and basic harmony. If you listen to music or play music by ear, and you want to know more about how music is organized and notated, this course is for you.",Beginner Level,Michigan State University,Arts and Humanities,Music and Art
The Language of Design: Form and Meaning,"54,583",Yasmin Khan Gibson,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/31/04da59863f401898117171139a9e67/YasminTempProfilePic.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,159,"by VV,by RH","This course is perfect for freshers and if u want to recall the basics of design. The examples and explanations provided by the instructors were very lucid and insightful.,During this course i learned the language of design and my perspective to see design changed a bit. mentors also done a good job.the course is interesting and clear.","In this course, critique is defined as a detailed, objective analysis of a work of graphic design and its effectiveness. Critique is an integral part of the making process for designers: it’s not just how we determine if a work of design is or is not successful, it’s how we move our work forward. Critique is also where other voices and opinions can be brought into the design process. ",Beginner Level,California Institute of the Arts,Arts and Humanities,Music and Art
Fashion as Design,"242,752",Paola Antonelli,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/61/3775109ef511e79c9919ef7cb14e89/Paola_2017.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,609,"by SA,by MP","I would highly recommend this course for someone passionate about the industry. It's an Insightful course too deepen inside the fashion world, through history, identity, sustainability, and much more.,Excellent. I thoroughly enjoyed it and recommended it to many. I am a mature student ( 55) and after this, I really feel I want to study a masters in fashion sustainability. Thanks for inspiring me.","Among all objects of design, our clothes are the most universal and intimate. Like other kinds of design, fashion thrives on productive tensions between form and function, automation and craftsmanship, standardization and customization, universality and self-expression, and pragmatism and utopian vision. It exists in the service of others, and it can have profound consequences—social, political, cultural, economic, and environmental.",Beginner Level,The Museum of Modern Art,Arts and Humanities,Music and Art
Guitar for Beginners,"273,347",Thaddeus Hogarth,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f7/2e5b5ebf7440788d7c7ad5400af927/PastedGraphic-1.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,616,"by SM,by DS","If you want to learn guitar no matter which guitar you want to learn acoustic or electric if you are a beginner then quickly join this course it will really help you to upgrade your skills in guitar.,Grate beginner course. Gives you an understanding of basic music theory to help understand how to solo over scales as well as basic strumming and picking. Better than any YouTube video I have tried.","Grasp the essentials needed to begin playing acoustic or electric guitar. You'll learn an easy approach to get you playing quickly, through a combination of exploring the instrument, performance technique, and basic music theory.",Approx. 24 hours to complete,Berklee College of Music,Arts and Humanities,Music and Art
The Truth About Cats and Dogs,"58,787","Miss Hayley  Walters, RVN",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/ab/adb62a40b41011e3b8bdc59659be48b7/Hayley-and-Stewart---Copy.JPG?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,555,"by HR,by JJ","I learned so much about how to decrease stress for my pets and increase their happiness. I also learned how to better communicate with them. Thank you for helping improve my pets quality of life!,I have had a variety of animal companions throughout my life, but this course has taught me that I could always benefit by staying up-to-date on the latest information related to animal welfare.","What is your cat revealing to you when she purrs? What is your dog expressing when he yawns or wags his tail? Understanding your cat and dog’s behaviour and the way they communicate with you, will enable you to better understand their needs and strengthen your relationship with them.",Approx. 16 hours to complete,The University of Edinburgh,Health,Animal Health
Science of Exercise,"276,299","Robert Mazzeo, Ph.D.",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/97/869090415a11e78d52134c45f8679d/last.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,1303,"by MB,by NT","It is a very great course. This course taught me many great things about the human body like how the body responses to exercise and nutrition. What, when, how we should do exercise and take nutrition.,Love everything about this course. Nice module. Professor is really nice. However, I need to learn further about weight training (Pros, cons , etc). Looking forward to attend in weight training class.","Learners who complete Science of Exercise will have an improved physiological understanding of how your body responds to exercise, and will be able to identify behaviors, choices, and environments that impact your health and training. You will explore a number of significant adjustments required by your body in order to properly respond to the physical stress of exercise, including changes in carbohydrate, fat and protein metabolism, nutritional considerations, causes of muscle soreness & fatigue, and the effectiveness and dangers of performance enhancing drugs. Active learning assessments will challenge you to apply this new knowledge via nutrition logs, heart rate monitoring, calculations of your total daily caloric expenditure and body mass index (BMI). Finally, learners will examine the scientific evidence for the health benefits of exercise including the prevention and treatment of heart disease, diabetes, cancer, obesity (weight loss), depression, and dementia.",Beginner Level,University of Colorado Boulder,Health,Basic Science
Big History: Connecting Knowledge,"86,981",A/Professor Iain Hay,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d8/0edd5c44a3420499ca859d6045eb14/Iain-no-border.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,430,"by SA,by BG","I absolutely LOVED Big History! It's so interesting and insightful!! I highly recommend everyone to take this course, you will learn a lot about the world! Thank you Professor Christian and Baker!! :),Finally! A creation myth based on evidence and multiple scientific disciplines for all humans is here! The time for stories based on speculation and superstition for the chosen group is finally over.","We currently face unprecedented challenges on a global scale. These problems do not neatly fall into disciplines. They are complicated, complex, and connected. Join us on this epic journey of 13.8 billion years starting at the Big Bang and travelling through time all the way to the future. Discover the connections in our world, the power of collective learning, how our universe and our world has evolved from incredible simplicity to ever-increasing complexity. Experience our modern scientific origin story through Big History and discover the important links between past, current, and future events. You will find two different types of lectures. ‘Zooming In’ lectures from multiple specialists enable you to understand key concepts through the lens of different disciplines, whilst David Christian's ‘Big History Framework’ lectures provide the connective overview for a journey through eight thresholds of Big History.",Approx. 29 hours to complete,Macquarie University,Arts and Humanities,History
Dino 101: Dinosaur Paleobiology,"56,672","Philip John Currie, PhD",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/e5/992d260b73f80e564302465a8eb62e/phil-courserapage-600.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.9,961,"by JH,by PM","Thank you for this excellent course! I really enjoyed the short videos, the concise notes, and quick quizzes (both at the end of each lesson, as well as the main point quizzes throughout the videos).,Even as a dinosaur nerd, I still learned a lot. Instructional videos with embedded quizzes were very well constructed. I'm just a bit bummed that I couldn't access the fossil viewer for some reason.","Dino 101: Dinosaur Paleobiology is a 12-lesson course teaching a comprehensive overview of non-avian dinosaurs. Topics covered: anatomy, eating, locomotion, growth, environmental and behavioral adaptations, origins and extinction. Lessons are delivered from museums, fossil-preparation labs and dig sites. Estimated workload: 3-5 hrs/week.",Beginner Level,University of Alberta,Health,Basic Science
